Username,Comment,Duplicate_Count,Fake_Score,Fake_Detection
@deepagopinath8061,Need Dee part 2,1,0,Real
@PrajjunChary,Idhe timing tho continue chesthey bablu ane name  bagundedhii kadha manchu bro,1,0,Real
@PichikaLaxmanrao,Imiss you Sri Hari anna,1,0,Real
@natureofficial-bt4xh,https://youtube.com/shorts/Hjk9SQt0-G0?feature=share,1,6,Fake
@sankararaoyelisetti8416,మంచు మనోజ్ లక్ష్మీ ఆ కుటుంబంలో అతి పెద్ద మంచి వాళ్లు😅ఈ ప్రపంచానికి వాళ్లు కావాలి😅,1,2,Suspicious
@AkhilaThiravalluru,🕺👈💪💪💪💪💪💪💪💪💪👈👉🐅👈🔥👈👀👈👍👍,1,3,Suspicious
@AkhilaThiravalluru,👫🤝💪💪💪💪👌👌👌👌👌,1,3,Suspicious
@AkhilaThiravalluru,💃👈👉🛌👈👍👍,1,1,Real
@SavalamRamesh-p1j,Dgsysteayytetwy🎉🎉🎉🎉🎉❤❤😊😊😊,1,3,Suspicious
@krishnasai7891,"Dhee movie hero 1st hero Srihari, 2nd hero Brahmi, 3rd Sunil  4th Jayprakash reddy 5th Genelia",1,0,Real
@mayalokam1234,శ్రీ హరి గారు 😢 రిప్,1,0,Real
@vuduthalaprabhakar3105,2024 likes vesukondi,1,0,Real
@KarrothugowrinaiduGowrinaiduka,Chudali,1,1,Real
@Sanjaym-g7k,Super,16,3,Suspicious
@e.yadaiahyadi5609,❤🎉,2,3,Suspicious
@radhikaa123,Great shrihari sir 😢,1,0,Real
@radhikaa123,Miss you sir,1,0,Real
@radhikaa123,Sir ki anni likes echina saripodu,1,0,Real
@rafeeq7860,great actor srihari,1,0,Real
@santhueditsyt8062,29:43 😂😂😂,1,1,Real
@vartyapraveen5224,Alo😂😂,1,1,Real
@vartyapraveen5224,Chal naduvu bey😂,1,0,Real
@SrinivasMangam-g9l,Hi,3,3,Suspicious
@dhiravathnari2954,Ippatiki 100 sarlu chusa,1,0,Real
@MmaadhuriMmaadhuri,Dhesfh,1,1,Real
@aarifhask6982,Super 🎉😂,1,1,Real
@user-nm5qi4bz2q,Bremigaru comedian low Manchester,1,0,Real
@Anilkumar-hi4zc,Especially 23:04 దగ్గర నవ్వులేక చస్తారు... కామిడీ టైమింగ్ a సూపర్ 😅😅,1,2,Suspicious
@Albatros8329,Without srihari there's no Comedy,1,0,Real
